timestamp,user_id,event_type,trace_id,details
1775075919.377871,User-001,started,trace_0119,"188 requests remaining (advanced 44%), 139,957 tokens at start"
1775075919.4714262,User-002,started,trace_0055,"490 requests remaining (advanced 34%), 154,326 tokens at start"
1775075919.5314746,User-003,started,trace_0204,"67 requests remaining (advanced 28%), 34,326 tokens at start"
1775075919.583843,User-004,started,trace_0422,"4 requests remaining (advanced 33%), 6,399 tokens at start"
1775075919.6447256,User-005,started,trace_0307,"12 requests remaining (advanced 57%), 37,432 tokens at start"
1775075919.6987622,User-006,started,trace_0514,"3 requests remaining (advanced 50%), 12,207 tokens at start"
1775075919.774068,User-007,started,trace_0296,"20 requests remaining (advanced 52%), 89,388 tokens at start"
1775075919.8544176,User-008,started,trace_0336,"74 requests remaining (advanced 49%), 108,055 tokens at start"
1775075919.9411907,User-009,started,trace_0520,"179 requests remaining (advanced 52%), 116,671 tokens at start"
1775075920.0113006,User-010,started,trace_0071,"15 requests remaining (advanced 29%), 57,966 tokens at start"
1775075920.1013465,User-011,started,trace_0219,"42 requests remaining (advanced 48%), 126,004 tokens at start"
1775075920.1828854,User-012,started,trace_0176,"98 requests remaining (advanced 39%), 110,476 tokens at start"
1775075920.2757957,User-013,started,trace_0244,"631 requests remaining (advanced 44%), 149,774 tokens at start"
1775075920.3754299,User-014,started,trace_0057,"246 requests remaining (advanced 40%), 179,618 tokens at start"
1775075920.4617596,User-015,started,trace_0243,"48 requests remaining (advanced 52%), 84,267 tokens at start"
1775075920.538537,User-016,started,trace_0237,"176 requests remaining (advanced 49%), 81,388 tokens at start"
1775075920.6117465,User-017,started,trace_0373,"10 requests remaining (advanced 55%), 78,947 tokens at start"
1775075920.6928174,User-018,started,trace_0521,"10 requests remaining (advanced 38%), 109,716 tokens at start"
1775075920.7643144,User-019,started,trace_0371,"16 requests remaining (advanced 33%), 77,148 tokens at start"
1775075920.847544,User-020,started,trace_0100,"150 requests remaining (advanced 46%), 119,477 tokens at start"
1775076009.9092746,User-004,completed,trace_0422,"6/6 requests, 52.0% cache hit"
1775076009.9406068,User-006,completed,trace_0514,"6/6 requests, 42.2% cache hit"
1775076067.7450135,User-014,truncated,trace_0057,"164/408 requests, 99.9% cache hit"
1775076069.488044,User-021,started,trace_0159,"70 requests remaining (advanced 49%), 142,046 tokens at start"
1775076099.39324,User-022,started,trace_0193,"76 requests remaining (advanced 44%), 71,451 tokens at start"
1775076129.431201,User-023,started,trace_0361,"5 requests remaining (advanced 17%), 12,720 tokens at start"
1775076129.4875696,User-024,started,trace_0434,"3 requests remaining (advanced 50%), 12,236 tokens at start"
1775076129.5471392,User-025,started,trace_0239,"34 requests remaining (advanced 29%), 21,910 tokens at start"
1775076129.6065924,User-026,started,trace_0104,"5 requests remaining (advanced 29%), 21,796 tokens at start"
1775076129.6802173,User-027,started,trace_0332,"118 requests remaining (advanced 37%), 65,026 tokens at start"
1775076142.3417287,User-024,completed,trace_0434,"6/6 requests, 24.2% cache hit"
1775076153.1625335,User-023,completed,trace_0361,"6/6 requests, 37.2% cache hit"
1775076154.8711464,User-017,completed,trace_0373,"22/22 requests, 98.8% cache hit"
1775076159.4325752,User-028,started,trace_0519,"4 requests remaining (advanced 33%), 145,196 tokens at start"
1775076159.5053258,User-029,started,trace_0157,"120 requests remaining (advanced 33%), 72,889 tokens at start"
1775076159.5970514,User-030,started,trace_0298,"168 requests remaining (advanced 50%), 139,660 tokens at start"
1775076159.664374,User-031,started,trace_0007,"198 requests remaining (advanced 31%), 48,043 tokens at start"
1775076159.7557917,User-032,started,trace_0513,"58 requests remaining (advanced 58%), 138,311 tokens at start"
1775076159.822859,User-033,started,trace_0203,"34 requests remaining (advanced 39%), 46,003 tokens at start"
1775076159.8977168,User-034,started,trace_0217,"242 requests remaining (advanced 38%), 74,406 tokens at start"
1775076189.466955,User-035,started,trace_0052,"122 requests remaining (advanced 57%), 74,411 tokens at start"
1775076189.5377226,User-036,started,trace_0268,"4 requests remaining (advanced 50%), 55,712 tokens at start"
